symbol,announce_date,reported_gain_pct,status
VVV,2026-07-21,33,win
BR,2026-08-12,33,win
RE,2026-08-19,54,win
LIT,2026-07-27,52,win
MORPHO,2026-08-18,22,win
ZRO,2026-07-17,61,win
PUMP,2026-07-19,175,win
HEMI,2026-08-15,61,win
BTW,2026-07-27,670,win
Q,2026-08-16,,loss
CYS,2026-08-05,212,win
BLUAI,2026-07-06,204,win
TST,2026-08-10,20,win
MUBARAK,2026-08-09,58,win
BROCCOLI,2026-07-31,42,win
EPIC,2026-07-11,52,win
US,2026-07-10,130,win
ON,2026-07-28,50,win
ZBT,2026-08-06,21,win
KOMA,2026-07-31,40,win
GIGGLE,2026-07-31,50,win
ONDO,2026-07-31,,loss
KGEN,2026-07-31,,loss
UAI,2026-07-30,,loss
ESP,2026-07-19,60,win
TAG,2026-07-27,,loss
KAITO,2026-07-15,68,win
ZAMA,2026-07-20,48,win
STAR,2026-07-19,,loss
ALLO,2026-06-08,12,win
SAGA,2026-09-15,90,win
ENA,2026-08-22,51,win
AKE,2026-09-02,955,win
NEAR,2026-09-17,58,win
XTZ,2026-09-19,18,win
PIEVERSE,2026-08-08,116,win
RAY,2026-09-06,66,win
MOO,2026-09-11,97,win
COTI,2026-09-07,55,win
PONS,2026-08-24,1470,win
LOBSTER,2026-08-29,418,win
AVA,2026-09-13,65,win
KSM,2026-09-17,,pending
ZEC,2026-08-21,160,win
ONE,2026-09-17,208,win
UNI,2026-09-05,54,win
MARSCOIN,2026-09-22,20,win
FLOCK,2026-08-31,150,win
MINA,2026-09-21,20,win
PYTH,2026-09-02,20,win
KERNEL,2026-08-31,90,win
PEPE,2026-09-21,,pending
KMNO,2026-09-20,18,win
ONDO,2026-09-19,,loss
NEET,2026-08-27,,loss
MAGMA,2026-08-28,43,win
MANCER,2026-08-30,110,win
RDDT,2026-08-31,,loss
ANTFUN,2026-08-31,,loss
USELESS,2026-08-31,260,win
BONK,2026-09-01,,loss
LINK,2026-09-01,,loss
BTR,2026-09-01,,loss
FF,2026-08-27,90,win
UAI,2026-08-30,123,win
MICRODUCK,2026-09-02,,loss
TENDIES,2026-09-02,,loss
KITE,2026-09-02,,loss
INDEX,2026-09-02,80,win
WTH,2026-09-03,,loss
USELESS,2026-09-03,260,win
MARSCOIN,2026-09-03,90,win
